Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Income share held by third 20%,SI.DST.03RD.20,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Pakistan,PAK,16.3,..,..,..,16.4,16.1,..,16.4,..,15.6,..,..
Income share held by third 20%,SI.DST.03RD.20,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Panama,PAN,..,11.3,12.2,12.3,12.6,12.6,12.6,12.7,13,12.8,12.9,..
Income share held by third 20%,SI.DST.03RD.20,Papua New Guinea,PNG,..,..,..,15.2,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Paraguay,PRY,14.6,..,12.4,13.2,12.8,12.5,13.8,13.1,12.6,13.4,13.2,..
Income share held by third 20%,SI.DST.03RD.20,Peru,PER,..,13.4,13.9,13.9,14.3,14.7,14.8,14.8,15,14.8,14.8,..
Income share held by third 20%,SI.DST.03RD.20,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Portugal,PRT,..,..,15.8,16.3,15.9,15.8,16.2,16.3,16.4,16.3,..,..
Income share held by third 20%,SI.DST.03RD.20,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Romania,ROU,..,..,16.8,16.9,17.1,17.1,17.1,17.4,17.8,17.7,..,..
Income share held by third 20%,SI.DST.03RD.20,Russian Federation,RUS,..,15.9,14.3,14.7,14.8,14.7,14.5,14.4,14.7,15.2,..,..
Income share held by third 20%,SI.DST.03RD.20,Rwanda,RWA,..,12.6,..,..,12.7,..,..,13.2,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Samoa,WSM,..,..,14.1,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Sao Tome and Principe,STP,..,16.6,..,..,16.8,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Senegal,SEN,..,..,..,..,..,15,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Seychelles,SYC,..,..,..,..,..,..,..,13.3,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Sierra Leone,SLE,..,..,..,..,..,15.8,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Slovak Republic,SVK,..,..,18.2,18.2,18.2,18.4,18.7,18.3,19,18.7,..,..
Income share held by third 20%,SI.DST.03RD.20,Slovenia,SVN,..,..,18.3,18.2,18.2,18.2,18.2,18.1,18.1,18.2,..,..
Income share held by third 20%,SI.DST.03RD.20,Solomon Islands,SLB,..,..,..,..,..,..,..,15.5,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,South Africa,ZAF,..,9.9,8.1,..,8,..,..,..,8.2,..,..,..
Income share held by third 20%,SI.DST.03RD.20,South Sudan,SSD,..,..,..,14.2,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Spain,ESP,..,..,17,16.9,16.8,16.9,17,17,17,17,..,..
Income share held by third 20%,SI.DST.03RD.20,Sri Lanka,LKA,16,..,..,15.2,..,..,14.5,..,..,..,14.5,..
Income share held by third 20%,SI.DST.03RD.20,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Sudan,SDN,..,..,..,16.3,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Suriname,SUR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Sweden,SWE,..,..,17.6,17.8,17.8,17.9,17.9,17.7,17.7,17.6,..,..
Income share held by third 20%,SI.DST.03RD.20,Switzerland,CHE,..,..,16.5,16.6,16.8,17,16.9,16.6,16.6,16.8,..,..
Income share held by third 20%,SI.DST.03RD.20,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Tajikistan,TJK,..,..,..,17.1,..,..,..,..,..,16.4,..,..
Income share held by third 20%,SI.DST.03RD.20,Tanzania,TZA,..,15.4,..,..,..,14.9,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Thailand,THA,12.9,13.6,14.6,14.8,14.8,15.1,14.8,15.1,15.3,15.5,..,..
Income share held by third 20%,SI.DST.03RD.20,Timor-Leste,TLS,..,..,..,..,..,..,..,..,16.9,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Togo,TGO,..,..,..,..,..,13.4,..,..,..,14.4,..,..
Income share held by third 20%,SI.DST.03RD.20,Tonga,TON,..,..,..,15.5,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Tunisia,TUN,15.3,14.9,..,..,16.1,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Turkey,TUR,..,..,15.9,15.6,15.6,15.2,15.1,15.1,14.7,14.2,14.5,..
Income share held by third 20%,SI.DST.03RD.20,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
