Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Income share held by second 20%,SI.DST.02ND.20,Portugal,PRT,..,..,11.7,12,11.8,11.9,12.1,12,12.2,12,..,..
Income share held by second 20%,SI.DST.02ND.20,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Romania,ROU,..,..,11.7,11.8,11.8,11.6,11.5,11.4,11.9,11.8,..,..
Income share held by second 20%,SI.DST.02ND.20,Russian Federation,RUS,..,11.1,10.1,10.5,10.5,10.5,10.3,10.3,10.6,11.1,..,..
Income share held by second 20%,SI.DST.02ND.20,Rwanda,RWA,..,8.9,..,..,9.1,..,..,9.6,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Samoa,WSM,..,..,10,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Sao Tome and Principe,STP,..,12.3,..,..,12.7,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Senegal,SEN,..,..,..,..,..,10.3,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Seychelles,SYC,..,..,..,..,..,..,..,9.8,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Sierra Leone,SLE,..,..,..,..,..,11.9,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Slovak Republic,SVK,..,..,14.7,14.4,14.5,14.5,14.6,14.1,14.7,14.6,..,..
Income share held by second 20%,SI.DST.02ND.20,Slovenia,SVN,..,..,14.9,14.6,14.7,14.7,14.6,14.4,14.5,14.5,..,..
Income share held by second 20%,SI.DST.02ND.20,Solomon Islands,SLB,..,..,..,..,..,..,..,11.4,..,..,..,..
